headline	lead_paragraph	web_url
Review: Miguel&#8217;s &#8216;Wildheart&#8217; Features R&amp;B and Clashing Impulses	This singer-songwriter&#8217;s latest effort dives deeply into personal issues as it defies the synthetic, robotic sound of most current R&B.	http://www.nytimes.com/2015/06/30/arts/music/review-miguels-wildheart-features-rb-and-clashing-impulses.html
Review: &#8216;Zoo&#8217; Is a James Patterson Novel Brought to TV	In this new CBS series, based on a book by Mr. Patterson and Michael Ledwidge, animals go on the attack against humans worldwide.	http://www.nytimes.com/2015/06/30/arts/television/review-zoo-is-a-james-patterson-novel-brought-to-tv.html
Amy Winehouse Documentary Lets Nobody Off the Hook	Those who decided to make a film about the soul singer&#8217;s legacy may not have gotten exactly what they expected, especially her family.	http://www.nytimes.com/2015/06/30/arts/music/amy-winehouse-documentary-lets-nobody-off-the-hook.html
Times Critics’ Guide: What to Do This Week	A handful of things to see, hear and do, chosen by critics for The Times.	http://www.nytimes.com/2015/06/30/arts/times-critics-guide-what-to-do-this-week.html
Bristol Palin Says Unmarried Pregnancy Was Planned	"Bristol Palin, the daughter of former Alaska Governor Sarah Palin and an advocate of sexual abstinence before marriage, says in a blog post that her second out-of-wedlock pregnancy was ""actually planned""."	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-people-bristolpalin.html
London 'William Tell' Gets Chorus of Boos for Nude Scene	"Gioachino Rossini's opera ""Guillaume Tell"" (William Tell) about the Swiss patriot who shoots an arrow that splits an apple atop his son's head is famed for its overture with the galloping horse theme used in ""The Lone Ranger"" television series."	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-music-britain-williamtell.html
Carlos Slim Scraps Project With Donald Trump After Mexico Insults	A television company controlled by Mexican billionaire Carlos Slim has canceled a project with real estate developer and TV personality Donald Trump after his comments insulting Mexicans, Slim's spokesman said on Monday.	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-trump-nbc-slim.html
Box Office Top 20: 'Jurassic,' 'Inside Out' Top 'Ted 2'	"""Inside Out"" and ""Jurassic World"" are still drawing significant audiences to theaters even in their second and third weekends at the multiplex, leaving little room for newer fare like ""Ted 2."""	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-film-box-office.html
'Gravity' Author Drops Lawsuit Against Warner Bros.	"Author Tess Gerritsen has dropped her lawsuit against Warner Bros. over similarities between the 2013 film ""Gravity"" and her 1999 book, she wrote in a statement Monday, citing brutal emotional and financial costs."	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-film-gravity-lawsuit.html
Renovation of Brutalist Building in Goshen Can Proceed, Judge Rules		http://artsbeat.blogs.nytimes.com/2015/06/29/renovation-of-brutalist-building-in-goshen-can-proceed-judge-rules/
&#8216;The Audience&#8217; Finishes Broadway Run on a High Note		http://artsbeat.blogs.nytimes.com/2015/06/29/the-audience-finishes-broadway-run-on-a-high-note/
Larry Kramer 'Still Has Work to Do' as Film Celebrates His Life	Larry Kramer's confrontational style has mellowed. Now 80, the playwright, novelist and AIDS activist, speaks softly and looks almost frail in a big leather armchair in his New York apartment overlooking Washington Square Park. 	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-aids-kramer.html
Rodgers and Hammerstein Biography on the Way		http://artsbeat.blogs.nytimes.com/2015/06/29/rodgers-and-hammerstein-biography-on-the-way/
Trump to Consider Suing After NBC Ends Business Dealings	Donald Trump says he'll consider suing after NBC announced it's ending its business relationship with the Republican presidential candidate over comments he made about immigrants during his campaign kickoff.	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-tv-nbc-trump-statement.html
Portrait of Pope Benedict XVI Made of Condoms Draws Complaints in  Milwaukee		http://artsbeat.blogs.nytimes.com/2015/06/29/portrait-of-pope-benedict-xvi-made-of-condoms-draws-complaints-in-milwaukee/
NBC Fires Trump, Drops Pageants Over Candidate's Insults to Mexicans	"NBC cut ties with U.S. presidential candidate Donald Trump and the ""Miss USA"" and ""Miss Universe"" pageants on Monday after the real estate developer and TV personality made comments insulting Mexicans earlier this month."	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-trump-nbc.html
Christian Thielemann Named Music Director at Bayreuth		http://artsbeat.blogs.nytimes.com/2015/06/29/christian-thielemann-named-music-director-at-bayreuth/
Men Bring the Moves, but Ladies Take Charge in 'Magic Mike XXL'	"Mike may have the magic, but it's the ladies that have the control in ""Magic Mike XXL,"" as five buff men cater to the female gaze in the supercharged raunchy male stripper movie sequel. "	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-film-magicmike.html
Real Housewife Vicki Gunvalson Gets Real About Reality TV	"It's hard for Vicki Gunvalson to not think of the past decade of her life in terms of TV seasons: She's the only remaining original cast member on Bravo's first ""Real Housewives"" series, ""The Real Housewives of Orange County."""	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-tv-qa-real-housewives-vicki-gunvalson.html
Neil Young's 'The Monsanto Years' Attacks Corporate Greed	"Neil Young + Promise of the Real, ""The Monsanto Years"" (Warner Bros.)"	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-music-review-neil-young.html
Boxers Mayweather, Pacquiao Top Forbes Best Paid Celebrity List	Boxers Floyd Mayweather and Manny Pacquiao topped Forbes list of the world's 100 highest-paid celebrities on Monday, on the heels of their lucrative clash in Las Vegas last month.	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-celebrities-highestpaid-forbes.html
Canonical Names at Auction	Work of a few masters still carries the clout to fetch spectacular prices.	http://www.nytimes.com/2015/06/29/arts/international/canonical-names-at-auction.html
Diddy's Son Quincy Calls Father's Arrest a 'Hiccup'	"Diddy's son Quincy Brown has dismissed his father's recent arrest as a ""hiccup."""	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-people-diddy-son.html
Rodgers and Hammerstein Bio Coming in 2018	A biography of Rodgers and Hammerstein, written with the cooperation of the late Broadway team's publishing arm, will be come out in 2018.	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-books-rogers-and-hammerstein.html
Seattle Art Exhibit Puts Spotlight on Race, Identity	Race, identity and the masks people wear are the themes explored in a new exhibit of contemporary, multimedia art at the Seattle Art Museum.	http://www.nytimes.com/aponline/2015/06/29/arts/ap-us-art-and-identity.html
Discovery Buys European Broadcast Rights to Games From 2018-2024	Discovery Communications has agreed to pay 1.3 billion euros ($1.4 billion) to screen the Olympic Games from 2018 to 2024 across Europe, beating national public broadcasters that have traditionally shown the event.	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-olympics-broadcasting-europe.html
Jolin Tsai, Eason Chan, A-Mei Win at Golden Melody Awards	Jolin Tsai was the big winner at the Golden Melody Awards, honoring some of the biggest names in Asian music.	http://www.nytimes.com/aponline/2015/06/29/arts/ap-as-taiwan-golden-melody-awards.html
Justin Bieber Heads Down Under for Hillsong Church Worship	Justin Bieber arrived in Sydney on Monday to attend a week-long gathering at a Hillsong pentecostal church, after the pop star this year vowed to discard his hard-partying image.	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-bieber-australia-hillsong.html
China Angered by Philippine Documentary on South China Sea	"China on Monday accused the Philippines of spreading misinformation and ""creating the illusion of the victim"" in their dispute over the South China Sea after Manila aired a three-part documentary defending its position."	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-china-philippines-southchinasea.html
Sean Combs Tumbles, Janet Jackson Gets Emotional at BET Awards	"Rapper Sean ""Diddy"" Combs took a tumble, Janet Jackson made an emotional appearance, and the BET TV network paid tribute on Sunday to campaigners across the United States demanding better police accountability after a troubled year."	http://www.nytimes.com/reuters/2015/06/29/arts/29reuters-awards-bet.html
What&#8217;s On TV Monday	Television highlights.	http://www.nytimes.com/2015/06/29/arts/television/whats-on-tv-monday.html
Magali No&euml;l, a French Singer and Actress and Muse to Fellini, Dies at 83	The Turkish Ms. No&#235;l, a favorite of the director Federico Fellini, sang a rendition of &#8220;Fais-Moi Mal, Johnny&#8221; (&#8220;Hurt Me, Johnny&#8221;) that proved scandalous because of its masochistic lyrics.	http://www.nytimes.com/2015/06/29/arts/magali-noel-a-french-singer-and-actress-and-muse-to-fellini-dies-at-83.html
Review: ‘Larry Kramer in Love &amp; Anger,’ Portrait of the Rebel as Gay Activist	A documentary examines the playwright, a founder of the Gay Men&#8217;s Health Crisis, and a man noted for the passion of his convictions.	http://www.nytimes.com/2015/06/29/arts/television/review-larry-kramer-in-love-anger-portrait-of-the-rebel-as-gay-activist.html
Royal Ballet&#8217;s Focus on British Choreography Exposes Its Limits	Dances by no fewer than seven British choreographers composed the company&#8217;s closing program, which played four performances at Lincoln Center.	http://www.nytimes.com/2015/06/29/arts/dance/royal-ballets-focus-on-british-choreography-exposes-its-limits.html
Seeking Genuine Discovery on Music Streaming Services 	I have a recurring problem with most streaming-service playlists: Though I keep listening out of animal curiosity for what comes next, I am almost never surprised.	http://www.nytimes.com/2015/06/29/arts/music/seeking-genuine-discovery-on-music-streaming-services.html
Chris Squire, Founding Bassist With the Rock Band Yes, Dies at 67	Mr. Squire was the only member to have played on every one of Yes’s albums and participated in every one of its tours.	http://www.nytimes.com/2015/06/29/arts/music/chris-squire-the-bassist-for-yes-is-dead-at-67.html
Review: &#8216;Voodoo,&#8217; by Harry Lawrence Freeman, Has First Staging Since 1928	Completed by the African-American composer around 1914, the opera was revived by Morningside Opera, Harlem Opera Theater and the Harlem Chamber Players.	http://www.nytimes.com/2015/06/29/arts/music/review-voodoo-by-harry-lawrence-freeman-has-first-staging-since-1928.html
